Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2015/02/16,39
2015/02/17,56
2015/02/18,60
2015/02/19,88
2015/02/20,80
2015/02/21,60
2015/02/22,14
2015/02/23,43
2015/02/24,-999
2015/02/25,-999
2015/02/26,29
2015/02/27,52
2015/02/28,67
2015/03/01,68
2015/03/02,44
2015/03/03,37
2015/03/04,-999
2015/03/05,14
2015/03/06,30
2015/03/07,27
2015/03/08,50
2015/03/09,57
2015/03/10,84
2015/03/11,104
2015/03/12,50
2015/03/13,55
2015/03/14,45
2015/03/15,42
2015/03/16,37
2015/03/17,36
2015/03/18,59
2015/03/19,90
2015/03/20,63
2015/03/21,53
2015/03/22,35
2015/03/23,54
2015/03/24,74
2015/03/25,41
2015/03/26,34
2015/03/27,15
2015/03/28,23
2015/03/29,34
2015/03/30,23
2015/03/31,22
2015/04/01,11
2015/04/02,13
2015/04/03,23
2015/04/04,18
2015/04/05,16
2015/04/06,11
2015/04/07,19
2015/04/08,38
2015/04/09,55
2015/04/10,53
2015/04/11,31
2015/04/12,45
2015/04/13,51
2015/04/14,55
2015/04/15,49
2015/04/16,33
2015/04/17,25
2015/04/18,36
2015/04/19,22
2015/04/20,35
2015/04/21,43
2015/04/22,37
2015/04/23,22
2015/04/24,36
2015/04/25,32
2015/04/26,37
2015/04/27,20
2015/04/28,21
2015/04/29,21
2015/04/30,23
2015/05/01,27
2015/05/02,34
2015/05/03,39
2015/05/04,25
2015/05/05,-999
2015/05/06,69
2015/05/07,46
2015/05/08,45
2015/05/09,21
2015/05/10,13
2015/05/11,32
2015/05/12,32
2015/05/13,33
2015/05/14,32
2015/05/15,29
2015/05/16,8
2015/05/17,12
2015/05/18,33
2015/05/19,28
2015/05/20,13
2015/05/21,11
2015/05/22,18
2015/05/23,17
2015/05/24,8
2015/05/25,13
2015/05/26,21
2015/05/27,14
2015/05/28,24
2015/05/29,34
2015/05/30,19
2015/05/31,22
2015/06/01,32
2015/06/02,21
2015/06/03,29
2015/06/04,43
2015/06/05,46
2015/06/06,44
2015/06/07,18
2015/06/08,-999
2015/06/09,-999
2015/06/10,-999
2015/06/11,45
2015/06/12,36
2015/06/13,46
2015/06/14,25
2015/06/15,26
2015/06/16,21
2015/06/17,19
2015/06/18,28
2015/06/19,35
2015/06/20,16
2015/06/21,12
2015/06/22,20
2015/06/23,22
2015/06/24,10
2015/06/25,17
2015/06/26,22
2015/06/27,28
2015/06/28,16
2015/06/29,18
2015/06/30,22
2015/07/01,29
2015/07/02,30
2015/07/03,31
2015/07/04,25
2015/07/05,31
2015/07/06,41
2015/07/07,38
2015/07/08,29
2015/07/09,20
2015/07/10,15
2015/07/11,20
2015/07/12,25
2015/07/13,30
2015/07/14,27
2015/07/15,34
2015/07/16,32
2015/07/17,27
2015/07/18,21
2015/07/19,19
2015/07/20,22
2015/07/21,28
2015/07/22,34
2015/07/23,19
2015/07/24,-999
2015/07/25,-999
2015/07/26,-999
2015/07/27,-999
2015/07/28,-999
2015/07/29,23
2015/07/30,21
2015/07/31,13
2015/08/01,16
2015/08/02,16
2015/08/03,20
2015/08/04,24
2015/08/05,32
2015/08/06,30
2015/08/07,38
2015/08/08,34
2015/08/09,21
2015/08/10,13
2015/08/11,26
2015/08/12,32
2015/08/13,33
2015/08/14,32
2015/08/15,17
2015/08/16,8
2015/08/17,11
2015/08/18,10
2015/08/19,5
2015/08/20,12
2015/08/21,12
2015/08/22,18
2015/08/23,17
2015/08/24,24
2015/08/25,27
2015/08/26,22
2015/08/27,24
2015/08/28,27
2015/08/29,29
2015/08/30,27
2015/08/31,32
2015/09/01,31
2015/09/02,25
2015/09/03,24
2015/09/04,20
2015/09/05,9
2015/09/06,9
2015/09/07,16
2015/09/08,23
2015/09/09,23
2015/09/10,26
2015/09/11,27
2015/09/12,31
2015/09/13,26
2015/09/14,19
2015/09/15,21
2015/09/16,29
2015/09/17,35
2015/09/18,24
2015/09/19,17
2015/09/20,14
2015/09/21,24
2015/09/22,32
2015/09/23,17
2015/09/24,17
2015/09/25,25
2015/09/26,26
2015/09/27,22
2015/09/28,24
2015/09/29,26
2015/09/30,24
2015/10/01,23
2015/10/02,32
2015/10/03,31
2015/10/04,30
2015/10/05,31
2015/10/06,38
2015/10/07,39
2015/10/08,24
2015/10/09,32
2015/10/10,19
2015/10/11,27
2015/10/12,38
2015/10/13,25
2015/10/14,17
2015/10/15,17
2015/10/16,21
2015/10/17,31
2015/10/18,40
2015/10/19,50
2015/10/20,34
2015/10/21,40
2015/10/22,42
2015/10/23,59
2015/10/24,82
2015/10/25,86
2015/10/26,-999
2015/10/27,-999
2015/10/28,-999
2015/10/29,21
2015/10/30,-999
2015/10/31,41
2015/11/01,41
2015/11/02,-999
2015/11/03,76
2015/11/04,54
2015/11/05,66
2015/11/06,81
2015/11/07,83
2015/11/08,73
2015/11/09,50
2015/11/10,67
2015/11/11,77
2015/11/12,-999
2015/11/13,105
2015/11/14,55
2015/11/15,71
2015/11/16,66
2015/11/17,69
2015/11/18,63
2015/11/19,-999
2015/11/20,51
2015/11/21,38
2015/11/22,17
2015/11/23,25
2015/11/24,45
2015/11/25,68
2015/11/26,88
2015/11/27,74
2015/11/28,74
2015/11/29,83
2015/11/30,75
2015/12/01,90
2015/12/02,116
2015/12/03,95
2015/12/04,87
2015/12/05,84
2015/12/06,85
2015/12/07,94
2015/12/08,101
2015/12/09,82
2015/12/10,58
2015/12/11,69
2015/12/12,-999
2015/12/13,79
2015/12/14,90
2015/12/15,112
2015/12/16,104
2015/12/17,110
2015/12/18,106
2015/12/19,-999
2015/12/20,96
2015/12/21,97
2015/12/22,87
2015/12/23,-999
2015/12/24,65
2015/12/25,67
2015/12/26,58
2015/12/27,57
2015/12/28,67
2015/12/29,81
2015/12/30,59
2015/12/31,36
2016/01/01,86
2016/01/02,49
2016/01/03,38
2016/01/04,-999
2016/01/05,40
2016/01/06,41
2016/01/07,48
2016/01/08,60
2016/01/09,58
2016/01/10,50
2016/01/11,35
2016/01/12,42
2016/01/13,20
2016/01/14,36
2016/01/15,30
2016/01/16,29
2016/01/17,-999
2016/01/18,25
